Channel,Energy(keV),Counts
350,66.1900,19
351,66.3798,18
352,66.5696,18
353,66.7594,20
354,66.9492,20
355,67.1391,18
356,67.3289,17
357,67.5187,21
358,67.7085,13
359,67.8983,27
360,68.0881,25
361,68.2779,9
362,68.4677,23
363,68.6575,31
364,68.8473,21
365,69.0371,30
366,69.2269,23
367,69.4167,16
368,69.6065,25
369,69.7963,21
370,69.9862,26
371,70.1760,15
372,70.3658,26
373,70.5556,20
374,70.7454,24
375,70.9352,16
376,71.1250,15
377,71.3148,20
378,71.5046,20
379,71.6944,28
380,71.8842,17
381,72.0740,19
382,72.2638,27
383,72.4536,23
384,72.6434,16
385,72.8332,19
386,73.0231,21
387,73.2129,24
388,73.4027,21
389,73.5925,27
390,73.7823,13
391,73.9721,24
392,74.1619,20
393,74.3517,20
394,74.5415,24
395,74.7313,36
396,74.9211,27
397,75.1109,26
398,75.3007,14
399,75.4905,20
400,75.6803,10
401,75.8701,28
402,76.0599,11
403,76.2497,26
404,76.4396,14
405,76.6294,24
406,76.8192,33
407,77.0090,30
408,77.1988,22
409,77.3886,29
410,77.5784,14
411,77.7682,24
412,77.9580,21
413,78.1478,25
414,78.3376,11
415,78.5274,13
416,78.7172,14
417,78.9070,25
418,79.0968,28
419,79.2866,9
420,79.4764,15
421,79.6662,21
422,79.8560,15
423,80.0458,16
424,80.2357,14
425,80.4255,21
426,80.6153,24
427,80.8051,24
428,80.9949,18
429,81.1847,22
430,81.3745,15
431,81.5643,17
432,81.7541,13
433,81.9439,9
434,82.1337,13
435,82.3235,21
436,82.5133,21
437,82.7031,18
438,82.8929,21
439,83.0827,19
440,83.2725,27
441,83.4623,18
442,83.6521,18
443,83.8419,11
444,84.0317,18
445,84.2215,21
446,84.4113,26
447,84.6011,30
448,84.7909,20
449,84.9808,23
450,85.1706,24
451,85.3604,26
452,85.5502,25
453,85.7400,24
454,85.9298,16
455,86.1196,20
456,86.3094,21
457,86.4992,22
458,86.6890,15
459,86.8788,22
460,87.0686,37
461,87.2584,28
462,87.4482,21
463,87.6380,22
464,87.8278,15
465,88.0176,10
466,88.2074,19
467,88.3972,29
468,88.5870,18
469,88.7768,17
470,88.9666,18
471,89.1564,20
472,89.3462,16
473,89.5360,15
474,89.7258,20
475,89.9156,18
476,90.1054,20
477,90.2952,25
478,90.4850,25
479,90.6748,9
480,90.8646,19
481,91.0544,16
482,91.2442,24
483,91.4341,18
484,91.6239,18
485,91.8137,14
486,92.0035,22
487,92.1933,26
488,92.3831,21
489,92.5729,17
490,92.7627,20
491,92.9525,17
492,93.1423,21
493,93.3321,20
494,93.5219,16
495,93.7117,19
496,93.9015,23
497,94.0913,22
498,94.2811,9
499,94.4709,19
500,94.6607,19
501,94.8505,12
502,95.0403,22
503,95.2301,25
504,95.4199,22
505,95.6097,31
506,95.7995,22
507,95.9893,15
508,96.1791,18
509,96.3689,20
510,96.5587,20
511,96.7485,21
512,96.9383,18
513,97.1281,18
514,97.3179,16
515,97.5077,21
516,97.6975,20
517,97.8873,14
518,98.0771,11
519,98.2669,15
520,98.4567,20
521,98.6465,24
522,98.8363,19
523,99.0261,27
524,99.2159,19
525,99.4057,24
526,99.5955,24
527,99.7853,25
528,99.9751,24
529,100.1649,23
530,100.3547,29
531,100.5445,23
532,100.7343,20
533,100.9241,29
534,101.1139,15
535,101.3037,22
536,101.4935,19
537,101.6833,19
538,101.8731,20
539,102.0629,21
540,102.2527,20
541,102.4425,20
542,102.6323,17
543,102.8221,26
544,103.0119,22
545,103.2017,22
546,103.3915,16
547,103.5813,18
548,103.7711,22
549,103.9609,20
550,104.1507,30
551,104.3405,19
552,104.5303,29
553,104.7201,20
554,104.9099,29
555,105.0997,17
556,105.2895,21
557,105.4793,25
558,105.6691,19
559,105.8589,20
560,106.0487,12
561,106.2385,27
562,106.4283,18
563,106.6181,19
564,106.8079,19
565,106.9977,23
566,107.1875,20
567,107.3773,25
568,107.5671,21
569,107.7569,24
570,107.9467,22
571,108.1365,22
572,108.3263,20
573,108.5161,25
574,108.7059,20
575,108.8957,21
576,109.0855,13
577,109.2753,26
578,109.4651,13
579,109.6549,30
580,109.8447,19
581,110.0345,19
582,110.2243,31
583,110.4141,27
584,110.6039,22
585,110.7937,16
586,110.9835,19
587,111.1733,23
588,111.3631,18
589,111.5529,29
590,111.7427,21
591,111.9325,13
592,112.1223,19
593,112.3121,23
594,112.5019,22
595,112.6917,23
596,112.8815,13
597,113.0713,16
598,113.2611,22
599,113.4509,15
600,113.6407,22
601,113.8305,17
602,114.0202,25
603,114.2100,19
604,114.3998,24
605,114.5896,31
606,114.7794,15
607,114.9692,23
608,115.1590,19
609,115.3488,17
610,115.5386,25
611,115.7284,18
612,115.9182,26
613,116.1080,24
614,116.2978,21
615,116.4876,19
616,116.6774,23
617,116.8672,17
618,117.0570,25
619,117.2468,33
620,117.4366,14
621,117.6264,18
622,117.8162,19
623,118.0060,15
624,118.1958,21
625,118.3856,21
626,118.5754,19
627,118.7652,27
628,118.9550,21
629,119.1448,21
