Channel,Energy(keV),Counts
4611,874.6116,5
4612,874.8012,2
4613,874.9909,6
4614,875.1805,3
4615,875.3702,3
4616,875.5598,1
4617,875.7495,3
4618,875.9391,3
4619,876.1287,8
4620,876.3184,2
4621,876.5080,1
4622,876.6977,1
4623,876.8873,2
4624,877.0770,3
4625,877.2666,4
4626,877.4563,7
4627,877.6459,5
4628,877.8355,3
4629,878.0252,4
4630,878.2148,3
4631,878.4045,4
4632,878.5941,4
4633,878.7838,2
4634,878.9734,3
4635,879.1630,4
4636,879.3527,3
4637,879.5423,2
4638,879.7320,0
4639,879.9216,0
4640,880.1113,2
4641,880.3009,8
4642,880.4905,6
4643,880.6802,1
4644,880.8698,5
4645,881.0595,1
4646,881.2491,4
4647,881.4388,2
4648,881.6284,6
4649,881.8180,2
4650,882.0077,4
4651,882.1973,3
4652,882.3870,4
4653,882.5766,3
4654,882.7663,4
4655,882.9559,3
4656,883.1455,1
4657,883.3352,1
4658,883.5248,0
4659,883.7145,2
4660,883.9041,8
4661,884.0938,2
4662,884.2834,3
4663,884.4730,3
4664,884.6627,5
4665,884.8523,2
4666,885.0420,1
4667,885.2316,4
4668,885.4213,3
4669,885.6109,3
4670,885.8005,1
4671,885.9902,3
4672,886.1798,3
4673,886.3695,6
4674,886.5591,1
4675,886.7487,1
4676,886.9384,5
4677,887.1280,1
4678,887.3177,5
4679,887.5073,3
4680,887.6970,1
4681,887.8866,2
4682,888.0762,1
4683,888.2659,2
4684,888.4555,1
4685,888.6452,3
4686,888.8348,2
4687,889.0244,3
4688,889.2141,3
4689,889.4037,1
4690,889.5934,1
4691,889.7830,1
4692,889.9727,5
4693,890.1623,2
4694,890.3519,0
4695,890.5416,2
4696,890.7312,3
4697,890.9209,1
4698,891.1105,3
4699,891.3001,1
4700,891.4898,2
4701,891.6794,2
4702,891.8691,6
4703,892.0587,4
4704,892.2483,1
4705,892.4380,1
4706,892.6276,2
4707,892.8173,0
4708,893.0069,3
4709,893.1965,3
4710,893.3862,3
4711,893.5758,2
4712,893.7655,3
4713,893.9551,4
4714,894.1447,0
4715,894.3344,4
4716,894.5240,2
4717,894.7137,2
4718,894.9033,5
4719,895.0929,2
4720,895.2826,1
4721,895.4722,2
4722,895.6619,2
4723,895.8515,1
4724,896.0411,2
4725,896.2308,3
4726,896.4204,2
4727,896.6101,5
4728,896.7997,3
4729,896.9893,1
4730,897.1790,1
4731,897.3686,3
4732,897.5583,2
4733,897.7479,1
4734,897.9375,3
4735,898.1272,4
4736,898.3168,9
4737,898.5065,1
4738,898.6961,3
4739,898.8857,5
4740,899.0754,4
4741,899.2650,1
4742,899.4547,1
4743,899.6443,0
4744,899.8339,2
4745,900.0236,2
4746,900.2132,1
4747,900.4029,2
4748,900.5925,8
4749,900.7821,4
4750,900.9718,4
4751,901.1614,1
4752,901.3511,5
4753,901.5407,0
4754,901.7303,1
4755,901.9200,3
4756,902.1096,2
4757,902.2992,3
4758,902.4889,4
4759,902.6785,2
4760,902.8682,0
4761,903.0578,5
4762,903.2474,2
4763,903.4371,1
4764,903.6267,2
4765,903.8164,2
4766,904.0060,4
4767,904.1956,2
4768,904.3853,1
4769,904.5749,3
4770,904.7645,2
4771,904.9542,1
4772,905.1438,7
4773,905.3335,1
4774,905.5231,1
4775,905.7127,1
4776,905.9024,5
4777,906.0920,2
4778,906.2816,5
4779,906.4713,3
4780,906.6609,1
4781,906.8506,2
4782,907.0402,2
4783,907.2298,1
4784,907.4195,2
4785,907.6091,5
4786,907.7987,1
4787,907.9884,4
4788,908.1780,1
4789,908.3677,4
4790,908.5573,1
4791,908.7469,2
4792,908.9366,3
4793,909.1262,5
4794,909.3158,2
4795,909.5055,0
4796,909.6951,3
4797,909.8848,2
4798,910.0744,3
4799,910.2640,1
4800,910.4537,3
4801,910.6433,6
4802,910.8329,2
4803,911.0226,3
4804,911.2122,2
4805,911.4019,4
4806,911.5915,2
4807,911.7811,6
4808,911.9708,2
4809,912.1604,2
4810,912.3500,2
4811,912.5397,0
4812,912.7293,1
4813,912.9189,4
4814,913.1086,1
4815,913.2982,2
4816,913.4879,4
4817,913.6775,0
4818,913.8671,1
4819,914.0568,1
4820,914.2464,0
4821,914.4360,0
4822,914.6257,3
4823,914.8153,7
4824,915.0049,7
4825,915.1946,4
4826,915.3842,2
4827,915.5739,0
4828,915.7635,0
4829,915.9531,2
4830,916.1428,3
4831,916.3324,1
4832,916.5220,4
4833,916.7117,4
4834,916.9013,2
4835,917.0909,1
4836,917.2806,2
4837,917.4702,4
4838,917.6598,1
4839,917.8495,1
4840,918.0391,6
4841,918.2288,4
4842,918.4184,4
4843,918.6080,2
4844,918.7977,5
4845,918.9873,0
4846,919.1769,4
4847,919.3666,2
4848,919.5562,2
4849,919.7458,5
4850,919.9355,1
4851,920.1251,1
4852,920.3147,3
4853,920.5044,3
4854,920.6940,4
4855,920.8836,4
4856,921.0733,1
4857,921.2629,0
4858,921.4526,1
4859,921.6422,5
4860,921.8318,2
4861,922.0215,3
4862,922.2111,4
4863,922.4007,2
4864,922.5904,2
4865,922.7800,3
4866,922.9696,2
4867,923.1593,3
4868,923.3489,3
4869,923.5385,5
4870,923.7282,3
4871,923.9178,4
4872,924.1074,0
4873,924.2971,1
4874,924.4867,6
4875,924.6763,1
4876,924.8660,4
4877,925.0556,0
4878,925.2452,1
4879,925.4349,2
4880,925.6245,1
4881,925.8141,1
4882,926.0038,1
4883,926.1934,1
4884,926.3830,2
4885,926.5727,4
4886,926.7623,3
4887,926.9519,5
4888,927.1416,5
4889,927.3312,3
4890,927.5208,1
4891,927.7105,2
4892,927.9001,2
4893,928.0897,2
4894,928.2794,3
4895,928.4690,1
4896,928.6586,1
4897,928.8483,2
4898,929.0379,1
4899,929.2275,5
4900,929.4172,2
4901,929.6068,1
4902,929.7964,2
4903,929.9861,3
4904,930.1757,2
4905,930.3653,3
4906,930.5550,2
4907,930.7446,6
4908,930.9342,4
4909,931.1239,2
4910,931.3135,1
4911,931.5031,3
4912,931.6928,4
4913,931.8824,0
4914,932.0720,3
4915,932.2617,0
4916,932.4513,1
4917,932.6409,2
4918,932.8306,2
4919,933.0202,2
4920,933.2098,1
4921,933.3995,3
4922,933.5891,1
4923,933.7787,2
4924,933.9684,3
4925,934.1580,5
4926,934.3476,3
4927,934.5373,1
4928,934.7269,6
4929,934.9165,2
4930,935.1062,5
4931,935.2958,0
4932,935.4854,2
4933,935.6751,1
4934,935.8647,0
4935,936.0543,7
4936,936.2439,2
4937,936.4336,6
4938,936.6232,3
4939,936.8128,1
4940,937.0025,1
4941,937.1921,0
4942,937.3817,2
4943,937.5714,2
4944,937.7610,1
4945,937.9506,1
4946,938.1403,4
4947,938.3299,1
4948,938.5195,5
4949,938.7092,0
4950,938.8988,5
4951,939.0884,3
4952,939.2781,1
4953,939.4677,1
4954,939.6573,7
4955,939.8469,2
4956,940.0366,1
4957,940.2262,0
4958,940.4158,4
4959,940.6055,4
4960,940.7951,1
4961,940.9847,2
4962,941.1744,2
4963,941.3640,0
4964,941.5536,3
4965,941.7433,2
4966,941.9329,4
4967,942.1225,3
4968,942.3121,1
4969,942.5018,2
4970,942.6914,2
4971,942.8810,4
4972,943.0707,3
4973,943.2603,3
4974,943.4499,2
4975,943.6396,2
4976,943.8292,1
4977,944.0188,2
4978,944.2085,3
4979,944.3981,2
4980,944.5877,1
4981,944.7773,0
4982,944.9670,2
4983,945.1566,0
4984,945.3462,2
4985,945.5359,1
4986,945.7255,0
4987,945.9151,3
4988,946.1048,6
4989,946.2944,5
4990,946.4840,1
4991,946.6736,1
4992,946.8633,2
4993,947.0529,0
4994,947.2425,2
4995,947.4322,5
4996,947.6218,1
4997,947.8114,1
4998,948.0010,1
4999,948.1907,3
5000,948.3803,2
5001,948.5699,3
5002,948.7596,1
5003,948.9492,0
5004,949.1388,0
5005,949.3285,1
5006,949.5181,3
5007,949.7077,3
5008,949.8973,3
5009,950.0870,2
5010,950.2766,1
5011,950.4662,4
5012,950.6559,1
5013,950.8455,1
5014,951.0351,1
5015,951.2247,0
5016,951.4144,2
5017,951.6040,2
5018,951.7936,0
5019,951.9833,5
5020,952.1729,2
5021,952.3625,3
5022,952.5521,4
5023,952.7418,5
5024,952.9314,4
5025,953.1210,0
5026,953.3107,4
5027,953.5003,3
5028,953.6899,3
5029,953.8795,3
5030,954.0692,4
5031,954.2588,1
5032,954.4484,1
5033,954.6381,3
5034,954.8277,1
5035,955.0173,3
5036,955.2069,3
5037,955.3966,3
5038,955.5862,3
5039,955.7758,3
5040,955.9654,5
5041,956.1551,4
5042,956.3447,0
5043,956.5343,2
5044,956.7240,2
5045,956.9136,2
5046,957.1032,5
5047,957.2928,4
5048,957.4825,5
5049,957.6721,0
5050,957.8617,3
5051,958.0514,1
5052,958.2410,2
5053,958.4306,1
5054,958.6202,0
5055,958.8099,0
5056,958.9995,5
5057,959.1891,3
5058,959.3787,1
5059,959.5684,1
5060,959.7580,4
5061,959.9476,2
5062,960.1373,0
5063,960.3269,3
5064,960.5165,2
5065,960.7061,4
5066,960.8958,6
5067,961.0854,1
5068,961.2750,4
5069,961.4646,2
5070,961.6543,5
5071,961.8439,1
5072,962.0335,1
5073,962.2231,1
5074,962.4128,2
5075,962.6024,0
5076,962.7920,1
5077,962.9817,0
5078,963.1713,5
5079,963.3609,0
5080,963.5505,2
5081,963.7402,5
5082,963.9298,2
5083,964.1194,5
5084,964.3090,2
5085,964.4987,6
5086,964.6883,1
5087,964.8779,5
5088,965.0675,3
5089,965.2572,4
5090,965.4468,1
5091,965.6364,2
5092,965.8260,1
5093,966.0157,2
5094,966.2053,1
5095,966.3949,3
5096,966.5845,4
5097,966.7742,2
5098,966.9638,1
5099,967.1534,7
5100,967.3430,2
5101,967.5327,4
5102,967.7223,5
5103,967.9119,2
5104,968.1016,1
5105,968.2912,4
5106,968.4808,2
5107,968.6704,1
5108,968.8601,1
5109,969.0497,1
5110,969.2393,3
5111,969.4289,3
5112,969.6186,2
5113,969.8082,1
5114,969.9978,1
5115,970.1874,1
5116,970.3771,4
5117,970.5667,3
5118,970.7563,1
5119,970.9459,3
5120,971.1356,2
5121,971.3252,3
5122,971.5148,1
5123,971.7044,2
5124,971.8941,2
5125,972.0837,4
5126,972.2733,5
5127,972.4629,1
5128,972.6525,1
5129,972.8422,1
5130,973.0318,4
5131,973.2214,1
5132,973.4110,6
5133,973.6007,3
5134,973.7903,3
5135,973.9799,1
5136,974.1695,5
5137,974.3592,2
5138,974.5488,3
5139,974.7384,2
5140,974.9280,3
5141,975.1177,4
5142,975.3073,1
5143,975.4969,3
5144,975.6865,1
5145,975.8762,4
5146,976.0658,1
5147,976.2554,2
5148,976.4450,3
5149,976.6347,3
5150,976.8243,4
5151,977.0139,3
5152,977.2035,4
5153,977.3931,2
5154,977.5828,2
5155,977.7724,1
5156,977.9620,1
5157,978.1516,4
5158,978.3413,2
5159,978.5309,4
5160,978.7205,1
5161,978.9101,2
5162,979.0998,0
5163,979.2894,1
5164,979.4790,3
5165,979.6686,6
5166,979.8582,1
5167,980.0479,2
5168,980.2375,5
5169,980.4271,1
5170,980.6167,2
5171,980.8064,4
5172,980.9960,4
5173,981.1856,3
5174,981.3752,2
5175,981.5649,3
5176,981.7545,2
5177,981.9441,1
5178,982.1337,0
5179,982.3233,4
5180,982.5130,3
5181,982.7026,3
5182,982.8922,1
5183,983.0818,4
5184,983.2715,3
5185,983.4611,4
5186,983.6507,0
5187,983.8403,2
5188,984.0299,5
5189,984.2196,1
5190,984.4092,3
5191,984.5988,1
5192,984.7884,4
5193,984.9781,1
5194,985.1677,2
5195,985.3573,4
5196,985.5469,3
5197,985.7365,1
5198,985.9262,2
5199,986.1158,2
5200,986.3054,1
5201,986.4950,3
5202,986.6847,3
5203,986.8743,5
5204,987.0639,1
5205,987.2535,0
5206,987.4431,1
5207,987.6328,2
5208,987.8224,1
5209,988.0120,3
5210,988.2016,3
5211,988.3912,2
5212,988.5809,2
5213,988.7705,3
5214,988.9601,1
5215,989.1497,2
5216,989.3394,2
5217,989.5290,0
5218,989.7186,2
5219,989.9082,2
5220,990.0978,4
5221,990.2875,1
5222,990.4771,5
5223,990.6667,3
5224,990.8563,5
5225,991.0459,1
5226,991.2356,4
5227,991.4252,3
5228,991.6148,1
5229,991.8044,1
5230,991.9940,2
5231,992.1837,3
5232,992.3733,2
5233,992.5629,2
5234,992.7525,1
5235,992.9421,0
5236,993.1318,3
5237,993.3214,1
5238,993.5110,2
5239,993.7006,2
5240,993.8902,2
5241,994.0799,2
5242,994.2695,1
5243,994.4591,4
5244,994.6487,1
5245,994.8383,6
5246,995.0280,4
5247,995.2176,1
5248,995.4072,1
5249,995.5968,3
5250,995.7864,2
5251,995.9761,1
5252,996.1657,4
5253,996.3553,3
5254,996.5449,3
5255,996.7345,1
5256,996.9242,4
5257,997.1138,1
5258,997.3034,2
5259,997.4930,1
5260,997.6826,4
5261,997.8723,1
5262,998.0619,3
5263,998.2515,3
5264,998.4411,3
5265,998.6307,2
5266,998.8204,2
5267,999.0100,1
5268,999.1996,2
5269,999.3892,1
5270,999.5788,1
5271,999.7685,2
5272,999.9581,1
5273,1000.1477,0
5274,1000.3373,3
5275,1000.5269,6
5276,1000.7165,1
5277,1000.9062,2
5278,1001.0958,3
5279,1001.2854,1
5280,1001.4750,1
5281,1001.6646,2
5282,1001.8543,3
5283,1002.0439,1
5284,1002.2335,3
5285,1002.4231,2
5286,1002.6127,1
5287,1002.8024,1
5288,1002.9920,4
5289,1003.1816,3
5290,1003.3712,5
5291,1003.5608,2
5292,1003.7504,3
5293,1003.9401,3
5294,1004.1297,1
5295,1004.3193,3
5296,1004.5089,2
5297,1004.6985,0
5298,1004.8882,6
5299,1005.0778,3
5300,1005.2674,2
5301,1005.4570,2
5302,1005.6466,1
5303,1005.8362,2
5304,1006.0259,4
5305,1006.2155,1
5306,1006.4051,1
5307,1006.5947,3
5308,1006.7843,2
5309,1006.9739,2
5310,1007.1636,1
5311,1007.3532,3
5312,1007.5428,5
5313,1007.7324,2
5314,1007.9220,1
5315,1008.1117,2
5316,1008.3013,5
5317,1008.4909,1
5318,1008.6805,1
5319,1008.8701,3
5320,1009.0597,2
5321,1009.2494,2
5322,1009.4390,2
5323,1009.6286,3
5324,1009.8182,0
5325,1010.0078,3
5326,1010.1974,4
5327,1010.3871,3
5328,1010.5767,2
5329,1010.7663,2
5330,1010.9559,2
5331,1011.1455,1
5332,1011.3351,1
5333,1011.5248,2
5334,1011.7144,2
5335,1011.9040,2
5336,1012.0936,6
5337,1012.2832,7
5338,1012.4728,1
5339,1012.6625,3
5340,1012.8521,4
5341,1013.0417,4
5342,1013.2313,1
5343,1013.4209,1
5344,1013.6105,2
5345,1013.8002,3
5346,1013.9898,2
5347,1014.1794,2
5348,1014.3690,1
5349,1014.5586,2
5350,1014.7482,4
5351,1014.9378,2
5352,1015.1275,2
5353,1015.3171,0
5354,1015.5067,1
5355,1015.6963,1
5356,1015.8859,1
5357,1016.0755,2
5358,1016.2652,1
5359,1016.4548,3
5360,1016.6444,0
5361,1016.8340,2
5362,1017.0236,2
5363,1017.2132,2
5364,1017.4029,2
5365,1017.5925,2
5366,1017.7821,0
5367,1017.9717,3
5368,1018.1613,0
5369,1018.3509,1
5370,1018.5405,2
5371,1018.7302,0
5372,1018.9198,1
5373,1019.1094,1
5374,1019.2990,1
5375,1019.4886,0
5376,1019.6782,3
5377,1019.8678,4
5378,1020.0575,4
5379,1020.2471,3
5380,1020.4367,0
5381,1020.6263,3
5382,1020.8159,1
5383,1021.0055,0
5384,1021.1952,4
5385,1021.3848,4
5386,1021.5744,2
5387,1021.7640,3
5388,1021.9536,4
5389,1022.1432,2
5390,1022.3328,0
5391,1022.5225,5
5392,1022.7121,2
5393,1022.9017,2
5394,1023.0913,6
5395,1023.2809,1
5396,1023.4705,4
5397,1023.6601,2
5398,1023.8498,0
5399,1024.0394,6
5400,1024.2290,2
5401,1024.4186,3
5402,1024.6082,3
5403,1024.7978,0
5404,1024.9874,0
5405,1025.1771,2
5406,1025.3667,2
5407,1025.5563,3
5408,1025.7459,2
5409,1025.9355,2
5410,1026.1251,3
5411,1026.3147,2
5412,1026.5043,1
5413,1026.6940,0
5414,1026.8836,4
5415,1027.0732,5
5416,1027.2628,4
5417,1027.4524,0
5418,1027.6420,3
5419,1027.8316,4
5420,1028.0213,2
5421,1028.2109,3
5422,1028.4005,4
5423,1028.5901,0
5424,1028.7797,3
5425,1028.9693,1
5426,1029.1589,3
5427,1029.3485,0
5428,1029.5382,2
5429,1029.7278,0
5430,1029.9174,1
5431,1030.1070,3
5432,1030.2966,3
5433,1030.4862,3
5434,1030.6758,1
5435,1030.8654,2
5436,1031.0551,0
5437,1031.2447,0
5438,1031.4343,2
5439,1031.6239,1
5440,1031.8135,0
5441,1032.0031,3
5442,1032.1927,4
5443,1032.3823,2
5444,1032.5720,2
5445,1032.7616,3
5446,1032.9512,0
5447,1033.1408,2
5448,1033.3304,3
5449,1033.5200,2
5450,1033.7096,0
5451,1033.8992,1
5452,1034.0889,2
5453,1034.2785,1
5454,1034.4681,0
5455,1034.6577,2
5456,1034.8473,3
5457,1035.0369,1
5458,1035.2265,1
5459,1035.4161,3
5460,1035.6058,4
5461,1035.7954,3
5462,1035.9850,3
5463,1036.1746,4
5464,1036.3642,1
5465,1036.5538,2
5466,1036.7434,2
5467,1036.9330,5
5468,1037.1226,0
5469,1037.3123,2
5470,1037.5019,1
5471,1037.6915,3
5472,1037.8811,6
5473,1038.0707,2
5474,1038.2603,0
5475,1038.4499,2
5476,1038.6395,2
5477,1038.8291,0
5478,1039.0188,1
5479,1039.2084,2
5480,1039.3980,3
5481,1039.5876,2
5482,1039.7772,1
5483,1039.9668,2
5484,1040.1564,2
5485,1040.3460,1
5486,1040.5356,0
5487,1040.7253,1
5488,1040.9149,3
5489,1041.1045,6
5490,1041.2941,1
5491,1041.4837,3
5492,1041.6733,3
5493,1041.8629,1
5494,1042.0525,5
5495,1042.2421,0
5496,1042.4318,1
5497,1042.6214,3
5498,1042.8110,2
5499,1043.0006,3
5500,1043.1902,2
5501,1043.3798,1
5502,1043.5694,3
5503,1043.7590,1
5504,1043.9486,1
5505,1044.1382,4
5506,1044.3279,3
5507,1044.5175,1
5508,1044.7071,3
5509,1044.8967,1
5510,1045.0863,0
5511,1045.2759,0
5512,1045.4655,1
5513,1045.6551,3
5514,1045.8447,2
5515,1046.0343,1
5516,1046.2240,1
5517,1046.4136,5
5518,1046.6032,3
5519,1046.7928,1
5520,1046.9824,2
5521,1047.1720,3
5522,1047.3616,1
5523,1047.5512,0
5524,1047.7408,0
5525,1047.9304,1
5526,1048.1200,1
5527,1048.3097,1
5528,1048.4993,2
5529,1048.6889,1
5530,1048.8785,1
5531,1049.0681,1
5532,1049.2577,1
5533,1049.4473,1
5534,1049.6369,1
5535,1049.8265,4
5536,1050.0161,3
5537,1050.2057,3
5538,1050.3954,4
5539,1050.5850,3
5540,1050.7746,3
5541,1050.9642,3
5542,1051.1538,2
5543,1051.3434,1
5544,1051.5330,3
5545,1051.7226,2
5546,1051.9122,4
5547,1052.1018,2
5548,1052.2914,1
5549,1052.4810,2
5550,1052.6707,1
5551,1052.8603,0
5552,1053.0499,1
5553,1053.2395,2
5554,1053.4291,2
5555,1053.6187,1
5556,1053.8083,0
5557,1053.9979,4
5558,1054.1875,2
5559,1054.3771,4
5560,1054.5667,0
5561,1054.7563,0
5562,1054.9460,3
5563,1055.1356,4
5564,1055.3252,0
5565,1055.5148,3
5566,1055.7044,2
5567,1055.8940,2
5568,1056.0836,4
5569,1056.2732,6
5570,1056.4628,3
5571,1056.6524,1
5572,1056.8420,1
5573,1057.0316,2
5574,1057.2212,1
5575,1057.4109,2
5576,1057.6005,2
5577,1057.7901,3
5578,1057.9797,0
5579,1058.1693,1
5580,1058.3589,2
5581,1058.5485,1
5582,1058.7381,1
5583,1058.9277,3
5584,1059.1173,2
5585,1059.3069,0
5586,1059.4965,3
5587,1059.6861,2
5588,1059.8757,2
5589,1060.0654,0
5590,1060.2550,0
5591,1060.4446,0
5592,1060.6342,2
5593,1060.8238,1
5594,1061.0134,4
5595,1061.2030,3
5596,1061.3926,4
5597,1061.5822,2
5598,1061.7718,3
5599,1061.9614,2
5600,1062.1510,2
5601,1062.3406,0
5602,1062.5302,5
5603,1062.7198,2
5604,1062.9094,2
5605,1063.0991,1
5606,1063.2887,2
5607,1063.4783,2
5608,1063.6679,0
5609,1063.8575,2
5610,1064.0471,2
5611,1064.2367,2
5612,1064.4263,0
5613,1064.6159,2
5614,1064.8055,3
5615,1064.9951,1
5616,1065.1847,1
5617,1065.3743,3
5618,1065.5639,1
5619,1065.7535,4
5620,1065.9431,3
5621,1066.1327,3
5622,1066.3224,1
5623,1066.5120,0
5624,1066.7016,2
5625,1066.8912,2
5626,1067.0808,4
5627,1067.2704,4
5628,1067.4600,3
5629,1067.6496,2
5630,1067.8392,3
5631,1068.0288,2
5632,1068.2184,1
5633,1068.4080,1
5634,1068.5976,3
5635,1068.7872,1
5636,1068.9768,1
5637,1069.1664,2
5638,1069.3560,3
5639,1069.5456,2
5640,1069.7352,2
5641,1069.9249,2
5642,1070.1145,0
5643,1070.3041,0
5644,1070.4937,1
5645,1070.6833,3
5646,1070.8729,2
5647,1071.0625,0
5648,1071.2521,1
5649,1071.4417,2
5650,1071.6313,3
5651,1071.8209,1
5652,1072.0105,3
5653,1072.2001,4
5654,1072.3897,0
5655,1072.5793,2
5656,1072.7689,2
5657,1072.9585,3
5658,1073.1481,3
5659,1073.3377,4
5660,1073.5273,1
5661,1073.7169,0
5662,1073.9065,2
5663,1074.0961,3
5664,1074.2858,2
5665,1074.4754,2
5666,1074.6650,2
5667,1074.8546,1
5668,1075.0442,1
5669,1075.2338,3
5670,1075.4234,4
5671,1075.6130,0
5672,1075.8026,2
5673,1075.9922,2
5674,1076.1818,0
5675,1076.3714,1
5676,1076.5610,0
5677,1076.7506,2
5678,1076.9402,0
5679,1077.1298,0
5680,1077.3194,1
5681,1077.5090,1
5682,1077.6986,4
5683,1077.8882,0
5684,1078.0778,2
5685,1078.2674,2
5686,1078.4570,1
5687,1078.6466,1
5688,1078.8362,1
5689,1079.0258,2
5690,1079.2154,3
5691,1079.4050,3
5692,1079.5946,1
5693,1079.7843,2
5694,1079.9739,2
5695,1080.1635,3
5696,1080.3531,1
5697,1080.5427,1
5698,1080.7323,1
5699,1080.9219,3
5700,1081.1115,2
5701,1081.3011,0
5702,1081.4907,4
5703,1081.6803,2
5704,1081.8699,3
5705,1082.0595,2
5706,1082.2491,2
5707,1082.4387,4
5708,1082.6283,2
5709,1082.8179,1
5710,1083.0075,2
5711,1083.1971,1
5712,1083.3867,2
5713,1083.5763,3
5714,1083.7659,0
5715,1083.9555,0
5716,1084.1451,1
5717,1084.3347,2
5718,1084.5243,2
5719,1084.7139,2
5720,1084.9035,1
5721,1085.0931,3
5722,1085.2827,2
5723,1085.4723,2
5724,1085.6619,3
5725,1085.8515,5
5726,1086.0411,1
5727,1086.2307,3
5728,1086.4203,1
5729,1086.6099,5
5730,1086.7995,1
5731,1086.9891,1
5732,1087.1787,0
5733,1087.3683,1
5734,1087.5579,1
5735,1087.7475,1
5736,1087.9371,2
5737,1088.1267,1
5738,1088.3163,4
5739,1088.5059,2
5740,1088.6955,0
5741,1088.8851,2
5742,1089.0747,1
5743,1089.2643,2
5744,1089.4539,1
5745,1089.6435,4
5746,1089.8331,3
5747,1090.0227,1
5748,1090.2123,1
5749,1090.4019,3
5750,1090.5915,1
5751,1090.7811,1
5752,1090.9708,2
5753,1091.1604,1
5754,1091.3500,1
5755,1091.5396,1
5756,1091.7292,1
5757,1091.9188,3
5758,1092.1084,6
5759,1092.2980,0
5760,1092.4876,4
5761,1092.6772,0
5762,1092.8668,2
5763,1093.0564,1
5764,1093.2460,2
5765,1093.4356,2
5766,1093.6252,1
5767,1093.8148,0
5768,1094.0044,4
5769,1094.1940,1
5770,1094.3836,3
5771,1094.5732,2
5772,1094.7628,0
5773,1094.9524,1
5774,1095.1420,4
5775,1095.3316,3
5776,1095.5212,0
5777,1095.7108,2
5778,1095.9004,1
5779,1096.0900,0
5780,1096.2796,1
5781,1096.4692,0
5782,1096.6587,4
5783,1096.8483,3
5784,1097.0379,2
5785,1097.2275,2
5786,1097.4171,0
5787,1097.6067,3
5788,1097.7963,2
5789,1097.9859,2
5790,1098.1755,2
5791,1098.3651,2
5792,1098.5547,1
5793,1098.7443,2
5794,1098.9339,2
5795,1099.1235,5
5796,1099.3131,0
5797,1099.5027,0
5798,1099.6923,0
5799,1099.8819,3
5800,1100.0715,2
5801,1100.2611,2
5802,1100.4507,2
5803,1100.6403,2
5804,1100.8299,1
5805,1101.0195,4
5806,1101.2091,3
5807,1101.3987,2
5808,1101.5883,2
5809,1101.7779,1
5810,1101.9675,2
5811,1102.1571,1
5812,1102.3467,1
5813,1102.5363,0
5814,1102.7259,0
5815,1102.9155,5
5816,1103.1051,2
5817,1103.2947,3
5818,1103.4843,0
5819,1103.6739,1
5820,1103.8635,2
5821,1104.0531,0
5822,1104.2427,2
5823,1104.4323,1
5824,1104.6219,4
5825,1104.8115,1
5826,1105.0011,1
5827,1105.1907,0
5828,1105.3803,2
5829,1105.5699,1
5830,1105.7595,2
5831,1105.9491,2
5832,1106.1387,2
5833,1106.3283,2
5834,1106.5179,2
5835,1106.7075,1
5836,1106.8971,4
5837,1107.0867,2
5838,1107.2763,0
5839,1107.4659,3
5840,1107.6555,6
5841,1107.8450,0
5842,1108.0346,2
5843,1108.2242,3
5844,1108.4138,1
5845,1108.6034,0
5846,1108.7930,3
5847,1108.9826,2
5848,1109.1722,3
5849,1109.3618,3
5850,1109.5514,1
5851,1109.7410,0
5852,1109.9306,3
5853,1110.1202,3
5854,1110.3098,2
5855,1110.4994,1
5856,1110.6890,6
5857,1110.8786,1
5858,1111.0682,1
5859,1111.2578,2
5860,1111.4474,3
5861,1111.6370,0
5862,1111.8266,5
5863,1112.0162,1
5864,1112.2058,3
5865,1112.3954,0
5866,1112.5850,1
5867,1112.7746,1
5868,1112.9642,2
5869,1113.1538,1
5870,1113.3433,1
5871,1113.5329,2
5872,1113.7225,2
5873,1113.9121,3
5874,1114.1017,2
5875,1114.2913,3
5876,1114.4809,6
5877,1114.6705,3
5878,1114.8601,2
5879,1115.0497,2
5880,1115.2393,4
5881,1115.4289,2
5882,1115.6185,3
5883,1115.8081,2
5884,1115.9977,2
5885,1116.1873,2
5886,1116.3769,2
5887,1116.5665,3
5888,1116.7561,1
5889,1116.9457,3
5890,1117.1353,1
5891,1117.3249,1
5892,1117.5145,0
5893,1117.7040,4
5894,1117.8936,4
5895,1118.0832,0
5896,1118.2728,1
5897,1118.4624,1
5898,1118.6520,1
5899,1118.8416,1
5900,1119.0312,4
5901,1119.2208,2
5902,1119.4104,3
5903,1119.6000,7
5904,1119.7896,1
5905,1119.9792,1
5906,1120.1688,4
5907,1120.3584,0
5908,1120.5480,1
5909,1120.7376,3
5910,1120.9272,0
5911,1121.1168,3
5912,1121.3063,3
5913,1121.4959,3
5914,1121.6855,1
5915,1121.8751,2
5916,1122.0647,4
5917,1122.2543,5
5918,1122.4439,0
5919,1122.6335,4
5920,1122.8231,2
5921,1123.0127,4
5922,1123.2023,2
5923,1123.3919,2
5924,1123.5815,3
5925,1123.7711,2
5926,1123.9607,1
5927,1124.1503,0
5928,1124.3399,1
5929,1124.5294,3
5930,1124.7190,1
5931,1124.9086,1
5932,1125.0982,3
5933,1125.2878,5
5934,1125.4774,3
5935,1125.6670,2
5936,1125.8566,2
5937,1126.0462,3
5938,1126.2358,5
5939,1126.4254,1
5940,1126.6150,0
5941,1126.8046,1
