Particle,EnergyDeposited
anti_proton,3.4475231911166664
e+,2.3037957463207834
e-,2.1765372595134047
gamma,0.9123738221596032
mu+,2.4332146123818954
mu-,2.410982275373373
pi+,3.5154399862236314
pi-,2.12378184646303
proton,5.45540238753415
