Energy_keV,Real_Counts
10.556652197265628,175279224.91777182
13.588581396484376,121487645.66308051
16.620510595703127,99237175.6554704
19.652439794921875,31783673.3437985
22.684368994140627,18819581.915504806
25.71629819335938,15647491.740938395
28.74822739257813,13950889.187847873
31.780156591796874,12708045.321210058
34.812085791015626,12141136.611445205
37.84401499023438,11656224.135398638
40.87594418945312,14860874.53762108
43.907873388671874,10538350.129565492
46.939802587890625,10312878.299403118
49.97173178710938,10252131.956675867
53.00366098632813,10273064.286500493
56.03559018554688,11209438.288118584
59.067519384765625,14052581.488043401
62.099448583984376,13674191.513178738
65.13137778320313,15418079.533451732
68.16330698242189,15668569.518467372
71.19523618164064,17989688.17290523
74.22716538085939,101686323.94176652
77.25909458007814,147328216.23824012
80.29102377929689,15473447.118268155
83.32295297851563,26339751.053781666
86.35488217773438,61674225.44883007
89.38681137695313,60557427.19829278
92.41874057617188,57425267.1555748
95.45066977539064,15265537.205607846
98.48259897460939,17540708.412332438
101.51452817382814,12048580.151807364
104.54645737304689,27605722.489385672
107.57838657226564,17745221.71939072
110.6103157714844,12485067.20417294
113.64224497070313,10747376.835545037
116.67417416992188,11569733.837396713
119.70610336914064,8791950.302800998
122.73803256835939,9148804.885772107
125.76996176757814,9770111.033012247
128.8018909667969,22505029.3215971
131.83382016601564,10392027.327177174
134.86574936523436,9285844.250063276
137.89767856445314,9113763.03666971
140.92960776367187,9218764.039500784
143.96153696289065,9053306.958191814
146.99346616210937,9700204.148396108
150.02539536132815,8972238.322719594
153.05732456054687,13742872.774006655
156.08925375976565,9096422.374179712
159.12118295898438,8514386.503396584
162.15311215820313,8650499.871602912
165.18504135742188,9504532.092306731
168.2169705566406,9016406.109039366
171.24889975585938,8685667.741502281
174.2808289550781,8972284.926703032
177.3127581542969,9469113.373841038
180.3446873535156,9360336.729513388
183.3766165527344,9863722.033014445
186.4085457519531,9667562.552596306
189.4404749511719,9455493.003929934
192.47240415039062,9933828.303562503
195.5043333496094,9219508.962194808
198.53626254882812,11197392.146383839
201.5681917480469,9689785.8721788
204.60012094726562,10522308.572319312
207.6320501464844,19911765.153577413
210.66397934570313,29552871.461697172
213.6959085449219,9541067.313876407
216.72783774414063,11713384.710078113
219.7597669433594,9349221.117930185
222.79169614257813,9740001.670863338
225.82362534179688,9584465.025806788
228.85555454101564,9574617.693717692
231.88748374023436,10048705.253406255
234.91941293945314,9974412.966841487
237.95134213867186,384449999.82981277
240.98327133789064,85215488.70411386
244.01520053710937,9761780.642463
247.04712973632815,8647221.563135542
250.07905893554687,8254010.2765379045
253.11098813476565,9440238.547769677
256.1429173339844,7857999.419257934
259.1748465332032,7762070.745715008
262.2067757324219,7773500.562098813
265.23870493164065,7823362.198594458
268.27063413085943,9531275.186433518
271.30256333007816,31537521.514788188
274.3344925292969,7884909.648728974
277.36642172851566,23118599.029266693
280.39835092773444,8999332.168117875
283.43028012695316,8255201.342827013
286.4622093261719,8855361.958375458
289.49413852539067,10533313.58455527
292.52606772460945,8118178.944158844
295.55799692382817,8077802.316566826
298.5899261230469,16788466.90271027
301.6218553222657,25045278.237435028
